Neighborhood Name,Most Popular Room Type
Norwood Park,Entire home/apt
Lake View,Entire home/apt
West Pullman,Entire home/apt
South Deering,Entire home/apt
Jefferson Park,Entire home/apt
North Center,Entire home/apt
Mount Greenwood,Entire home/apt
Gage Park,Entire home/apt
Portage Park,Entire home/apt
Hermosa,Entire home/apt
Logan Square,Entire home/apt
Belmont Cragin,Entire home/apt
Douglas,Entire home/apt
Austin,Entire home/apt
Greater Grand Crossing,Entire home/apt
Loop,Entire home/apt
West Garfield Park,Entire home/apt
Ohare,Entire home/apt
North Park,Entire home/apt
Brighton Park,Entire home/apt
Grand Boulevard,Entire home/apt
Chatham,Entire home/apt
West Elsdon,Entire home/apt
Garfield Ridge,Entire home/apt
Roseland,Entire home/apt
Humboldt Park,Entire home/apt
Oakland,Entire home/apt
Woodlawn,Entire home/apt
Mckinley Park,Entire home/apt
Lincoln Park,Entire home/apt
Albany Park,Entire home/apt
Pullman,Entire home/apt
Uptown,Entire home/apt
Avondale,Entire home/apt
South Lawndale,Entire home/apt
Montclare,Entire home/apt
West Englewood,Private room
East Garfield Park,Entire home/apt
Avalon Park,Entire home/apt
North Lawndale,Entire home/apt
Clearing,Entire home/apt
New City,Entire home/apt
Calumet Heights,Entire home/apt
West Town,Entire home/apt
Rogers Park,Entire home/apt
Armour Square,Entire home/apt
Ashburn,Entire home/apt
Chicago Lawn,Entire home/apt
Edgewater,Entire home/apt
Washington Heights,Private room
Edison Park,Entire home/apt
Dunning,Entire home/apt
East Side,Entire home/apt
West Lawn,Entire home/apt
Washington Park,Entire home/apt
Morgan Park,Entire home/apt
Auburn Gresham,Entire home/apt
Fuller Park,Entire home/apt
South Shore,Entire home/apt
Beverly,Entire home/apt
Near South Side,Entire home/apt
Archer Heights,Entire home/apt
Kenwood,Entire home/apt
Hyde Park,Entire home/apt
West Ridge,Entire home/apt
South Chicago,Entire home/apt
Near North Side,Entire home/apt
Near West Side,Entire home/apt
Burnside,Entire home/apt
Lower West Side,Entire home/apt
Forest Glen,Entire home/apt
Lincoln Square,Entire home/apt
Hegewisch,Entire home/apt
Irving Park,Entire home/apt
Englewood,Entire home/apt
Bridgeport,Private room
